Этап	Задача_бэклога	Пункт	Название	Статус	Полная_без_агента_чел_дни	Полная_с_агентом_чел_дни	Сделано_без_агента	Сделано_с_агентом	Остаток_без_агента	Остаток_с_агентом	Примечание
0.0	0.0.1	0.0.1.1	Зафиксировать бизнес-ценность СВТ	Done	1.5	1.0	1.5	1.0	0.0	0.0	
0.0	0.0.1	0.0.1.2	Зафиксировать фактическую архитектуру	Done	3.0	2.0	3.0	2.0	0.0	0.0	
0.0	0.0.1	0.0.1.3	Зафиксировать текущий стек	Done	1.0	0.5	1.0	0.5	0.0	0.0	
0.0	0.0.1	0.0.1.4	Выявить ключевые проблемы легаси	Done	3.0	2.0	3.0	2.0	0.0	0.0	
0.0	0.0.2	0.0.2.1	Сформулировать цель трансформации	Done	1.0	0.5	1.0	0.5	0.0	0.0	
0.0	0.0.2	0.0.2.2	Обосновать невозможность точечного рефакторинга	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.0	0.0.2	0.0.2.3	Сформулировать ожидаемые эффекты	Done	1.5	1.0	1.5	1.0	0.0	0.0	
0.0	0.0.3	0.0.3.1	Зафиксировать требования к архитектуре/данным/логике/…	Done	4.0	2.5	4.0	2.5	0.0	0.0	
0.0	0.0.3	0.0.3.2	Оформить архитектурный документ 2.0	Done	6.0	3.5	6.0	3.5	0.0	0.0	
0.0	0.0.3	0.0.3.3	Принять целевые решения (монолит Blazor+SQL, CQRS…)	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.0	0.0.4	0.0.4.1	Составить план работ трансформации	Done	4.0	2.5	4.0	2.5	0.0	0.0	
0.0	0.0.4	0.0.4.2	Оценить план (экспертно + с AI)	Done	2.0	1.0	2.0	1.0	0.0	0.0	первая оценка в таблице этапов backlog.md
0.0	0.0.4	0.0.4.3	Сформировать дорожную карту	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.0	0.0.5	0.0.5.1	Зафиксировать категории работ для калибровки	Todo	1.0	0.5	0.0	0.0	1.0	0.5	
0.0	0.0.5	0.0.5.2	Вести план vs факт по категориям	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.0	0.0.5	0.0.5.3	Пересчитать таблицу этапов в backlog.md раздельными коэффициентами	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.0	0.0.5	0.0.5.4	На пилотах фиксировать 4 метрики D-MET	Todo	1.0	0.5	0.0	0.0	1.0	0.5	
0.0	0.0.6	0.0.6.1	Исследовать готовность сред под новый стек	Done	3.0	2.0	3.0	2.0	0.0	0.0	
0.0	0.0.6	0.0.6.2	Составить план обновления сред	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.0	0.0.6	0.0.6.3	Накатить обновление на ДЕВ	Done	2.0	1.5	2.0	1.5	0.0	0.0	
0.0	0.0.6	0.0.6.4	Накатить обновление на ТЕСТ	Done	2.0	1.5	2.0	1.5	0.0	0.0	
