item	backlog	stage	no_ai	with_ai	status	title
0.0.1.1	0.0.1	0.0	1.5	1.0	Done	Зафиксировать бизнес-ценность СВТ
0.0.1.2	0.0.1	0.0	3.0	2.0	Done	Зафиксировать фактическую архитектуру
0.0.1.3	0.0.1	0.0	1.0	0.5	Done	Зафиксировать текущий стек
0.0.1.4	0.0.1	0.0	3.0	2.0	Done	Выявить ключевые проблемы легаси
0.0.2.1	0.0.2	0.0	1.0	0.5	Done	Сформулировать цель трансформации
0.0.2.2	0.0.2	0.0	2.0	1.0	Done	Обосновать невозможность точечного рефакторинга
0.0.2.3	0.0.2	0.0	1.5	1.0	Done	Сформулировать ожидаемые эффекты
0.0.3.1	0.0.3	0.0	4.0	2.5	Done	Зафиксировать требования к архитектуре/данным/логике/…
0.0.3.2	0.0.3	0.0	6.0	3.5	Done	Оформить архитектурный документ 2.0
0.0.3.3	0.0.3	0.0	2.0	1.0	Done	Принять целевые решения (монолит Blazor+SQL, CQRS…)
0.0.4.1	0.0.4	0.0	4.0	2.5	Done	Составить план работ трансформации
0.0.4.2	0.0.4	0.0	2.0	1.0	Done	Оценить план (экспертно + с AI)
0.0.4.3	0.0.4	0.0	2.0	1.0	Done	Сформировать дорожную карту
0.0.5.1	0.0.5	0.0	1.0	0.5	Todo	Зафиксировать категории работ для калибровки
0.0.5.2	0.0.5	0.0	2.0	1.0	Todo	Вести план vs факт по категориям
0.0.5.3	0.0.5	0.0	2.0	1.0	Todo	Пересчитать таблицу этапов в backlog.md раздельными коэффициентами
0.0.5.4	0.0.5	0.0	1.0	0.5	Todo	На пилотах фиксировать 4 метрики D-MET
0.0.6.1	0.0.6	0.0	3.0	2.0	Done	Исследовать готовность сред под новый стек
0.0.6.2	0.0.6	0.0	2.0	1.0	Done	Составить план обновления сред
0.0.6.3	0.0.6	0.0	2.0	1.5	Done	Накатить обновление на ДЕВ
0.0.6.4	0.0.6	0.0	2.0	1.5	Done	Накатить обновление на ТЕСТ
0.0.6.5	0.0.6	0.0	3.0	2.5	Done	Накатить обновление на ПРОД
0.0.6.6	0.0.6	0.0	1.0	1.0	Done	Подтвердить готовность сред
0.0.6.7	0.0.6	0.0	2.0	1.0	Done	Черновики приложений отложенной митигации §2б
0.1.1.1	0.1.1	0.1	2.0	1.0	Done	Точка входа, layout, маршрутизация
0.1.1.2	0.1.1	0.1	2.0	1.0	Done	Конфигурация (БД, логи, трассировка)
0.1.1.3	0.1.1	0.1	1.5	0.8	Done	Локализация ru/en
0.1.1.4	0.1.1	0.1	1.5	0.8	Done	Composition root: Platform + модули
0.1.2.1	0.1.2	0.1	3.0	1.5	Done	Базовые страницы, меню, UI-компоненты
0.1.2.2	0.1.2	0.1	1.5	0.8	Done	Обработка ошибок
0.1.2.3	0.1.2	0.1	2.5	1.2	Done	Инфраструктура доступа к БД
0.1.2.4	0.1.2	0.1	3.0	1.5	Done	Каркас unit и integration тестов
0.1.3.1	0.1.3	0.1	8.0	4.0	Done	Фреймворк гридов (фильтры, сортировка, пагинация)
0.1.3.2	0.1.3	0.1	4.0	2.0	Done	Фреймворк карточки записи
0.1.3.3	0.1.3	0.1	5.0	2.5	Done	Фреймворк БД (FTS, чтение грида/карточки)
0.1.4.1	0.1.4	0.1	3.0	2.0	Done	Процесс деплоя на ДЕВ
0.1.4.2	0.1.4	0.1	2.0	1.5	Done	Процесс деплоя на ТЕСТ
